"...1","median.X2016.12","median.X2017.02","median.X2017.03","median.X2017.05","median.X2017.06","median.X2017.07","median.X2017.08","median.X2017.10","median.X2017.11","median.X2017.12","median.X2018.02","median.X2018.04","median.X2018.05","median.X2018.06","median.X2018.07","median.X2018.08","median.X2018.09","median.X2018.10","median.X2018.11","median.X2019.02","median.X2019.03","median.X2019.05","median.X2019.06","median.X2019.07","median.X2019.08","median.X2019.09","median.X2019.10","median.X2020.01","median.X2020.02","median.X2020.03","median.X2020.04","median.X2020.05","median.X2020.06","median.X2020.07","median.X2020.09","median.X2020.11","median.X2021.02","median.X2021.03","median.X2021.04","median.X2021.06","median.X2021.07","median.X2021.08","median.X2021.09","median.X2021.10","median.X2021.12","median.X2022.01","median.X2022.02","median.X2022.03","median.X2022.04","median.X2022.05","median.X2022.06","median.X2022.07","median.X2022.08","median.X2022.09","median.X2022.10","median.X2022.11","median.X2022.12","median.X2023.02","median.X2023.03","median.X2023.06","median.X2023.07","median.X2023.08","median.X2023.09","median.X2023.10","median.X2023.12","median.X2024.01","median.X2024.03","median.X2024.04","median.X2024.05","median.X2024.06","median.X2024.07","median.X2024.08","median.X2024.10","median.X2024.11","median.X2024.12","median.X2025.02","median.X2025.03"
90,0.603410971350968,0.545098066329956,0.529252479039133,0.935196082293987,0.949351435899734,0.924522218447697,0.868907570838928,0.447443294174531,0.624499052762985,0.667614179569603,0.499857921099317,0.561407177237903,0.872616640452681,0.907644730061293,0.853518527249495,0.801464833056226,0.878171864239609,0.839741266879839,0.357176479101181,0.544169273815657,0.502655258402228,0.777148403503277,0.894416756044,0.91398124591164,0.822058815509081,0.908174356294645,0.82015932444483,0.597131676673889,0.571869306564331,0.509345287816566,0.537184270652565,0.920740314049296,0.59146796287717,0.897228280151332,0.871584033934858,0.592407431701819,0.499551375791178,0.514369058609009,0.524561431847121,0.931601311266422,0.900015324587002,0.35731093287468,0.895906868949533,0.845604404807091,0.507096201181412,0.494244149615688,0.449919264807421,0.328081242740154,0.305411776304245,0.346468862179106,0.385551477409899,0.448145783141903,0.510285546905116,0.668812450372948,0.713254919052124,0.761655787626902,0.701597693893645,0.528717976808548,0.342383116483688,0.838278556352153,0.831185817718506,0.745588250458241,0.776586796177758,0.785934108619889,0.748208263824726,0.655882373452187,0.419669122435153,0.726459463719617,0.706393879392873,0.885629195201246,0.748370663494083,0.891194632483853,0.85628816485405,0.839215695858002,0.858387808005015,0.818300664424896,0.261119957711246
91,0.623821465892996,0.55345271203829,0.53458113291047,0.945573384111578,0.944335515300434,0.926261656597013,0.85085785202682,0.226143793265013,0.664258705942268,0.579198661057845,0.516960813105108,0.534291966756187,0.887166725264655,0.914567906326718,0.880836608409881,0.858220219612121,0.890686281025409,0.859415472678418,0.267973870038986,0.560504227876665,0.514836630225183,0.79169551414602,0.891744072500027,0.908683461802346,0.776526604379928,0.904357304175696,0.82320262491703,0.631307211518289,0.580324568625155,0.518954277038575,0.532567077669605,0.929007162650426,0.906971683104832,0.905590754747391,0.859095868964991,0.68076924979687,0.517647087574007,0.530322156846525,0.519953892511478,0.924101311713457,0.883257925510406,0.54738564789296,0.883883316342424,0.764575177431108,0.61176472902298,0.488090051545039,0.440047537738628,0.322977951727809,0.361904770135881,0.340500347573183,0.421848744153979,0.49714407519154,0.485014006495477,0.61821205333128,0.693006554245949,0.763097047805788,0.651470609009269,0.534677898883817,0.45098039507866,0.853159050146739,0.840818057137152,0.788423843681813,0.799789174910515,0.790073541924358,0.843452390283345,0.721078447997566,0.652049931612883,0.784749468167618,0.820728302001955,NA,0.788671036561324,0.874673210084439,0.855873982111612,0.872361006802074,0.926610648632034,0.846455514431002,0.154723713343801
92,0.920479307572043,0.748370356512375,0.723207107553733,0.874886281967168,0.907374259570373,0.881072255807956,0.747627816163005,0.754094593665168,0.969444446265686,0.992156863212585,0.665073549374914,0.734050352404359,0.833288833231913,0.87643246923884,0.83163883840597,0.827030822634701,0.649778265506043,0.746491243180471,0.363453823399843,0.752647073566887,0.70506195867409,0.815971490469856,0.851298818985624,0.864318042993549,0.835224106907832,0.853537688862128,0.76003422933137,0.987867647781967,0.784357311328244,0.678349407707762,0.729890369326684,0.86991830840707,0.847967488736644,0.857213149055089,0.766072503545061,0.764450725831391,0.640740762154241,0.673744183778754,0.715425680898404,0.879655131634246,0.854423601170329,0.795372561216356,0.855710130486935,0.881252508078285,0.913398697972298,0.912201828637691,0.823677966540499,0.694039233922947,0.697603503863001,0.854203607938062,0.845551610629331,0.853515876778243,0.849711282612526,0.839757491491338,NA,0.984986596069128,0.986121438249777,0.870841574299225,NA,0.873956991187279,0.891842544988825,0.801271871940509,0.840917295936877,0.829395158058497,NA,NA,0.306772132130238,0.798121416283232,0.838231934714566,0.861055057916683,0.797806592310907,0.83538074845291,0.848440294238637,0.874509811401277,NA,0.609056979417822,0.569006983310935
94,0.652941197156887,0.62777779996392,0.658362188759972,0.911324535097395,0.917440665395633,0.901742925246557,0.733647074699396,0.258823543787003,0.675526526239224,0.475294119119644,0.604619953730343,0.668954268097909,0.86143791675568,0.895144730806343,0.850842802148109,0.829411774873724,0.830481293526534,0.841456592082976,0.229803925752837,0.648459404706944,0.649859964847567,0.792959014123136,0.88215686976909,0.891625801722209,0.86506071119081,0.889338241890067,0.596078455448151,0.688141942024231,0.666063368320473,0.645191431045553,0.646857738494876,0.917460322380064,0.89153108698256,0.887677354056651,0.866253877940923,0.69934642314913,0.580812349915504,0.61917213598889,0.630546977645473,0.922058828175068,0.890056028962132,0.744741548191413,0.886377715750741,0.883398699760442,0.685154080390891,0.665974645053656,0.650196099281315,0.625963511138127,0.631372570991526,0.8880073026169,0.871111118793481,0.880583486905909,0.862538707883724,0.864161228140193,0.865169348499997,0.890392163395897,0.722016823291805,0.648039236664712,0.573152363300314,0.898675151773392,0.901820015907281,0.874836608767506,0.873780217281596,0.875196085870262,0.694892296084698,0.710873457518335,0.681792736053467,0.691580179859622,0.795365431092002,NA,0.878991603851314,0.847712427377696,0.835696339607244,0.789542496204387,0.566448827584604,0.454901978373528,0.00784313748590954
95,0.631919766581331,0.450980424880741,0.598649975705608,0.92251442215014,0.929917777738164,0.902342053751069,0.744330791027582,0.695990653180118,0.683369663027261,0.743954263627939,0.56341219501412,0.589969858527124,0.678957455768679,0.899025347149121,0.872549027204486,0.82504625534107,0.84243698418145,0.750674034468664,0.237405732273594,0.620351611540039,0.591013096272782,0.756930372838013,0.86400201916688,0.882890960065289,0.797432006847415,0.881023602970658,0.811255422505304,0.683660149574195,0.633039237558383,0.591473583470527,0.597676131459942,0.903021340100218,0.443577883953468,0.863916130115563,0.851527596628868,0.668819704476748,0.558929544042965,0.582774171564193,0.595294141769152,0.916286519595514,0.885574236512195,0.596409190131741,0.885294124484124,0.830520044202521,0.706017596967357,0.674550672993312,0.664359881597954,0.58931575076909,0.338699700015778,0.902820783226125,0.874984194674761,0.895939648678909,0.892341553732944,0.880361526738809,0.852127274814476,0.842657961448027,0.681114570091135,0.644958004355336,NA,0.896899230951431,0.904375459584956,0.868151680292413,0.87531195039106,0.636813747137483,0.482949702635363,0.350247238252373,0.376003742217812,0.370843997468014,0.374599755630723,0.439705885946985,0.526220712591914,0.604738585652083,0.565662388396107,0.578324445811561,0.576627476215755,0.553613471986221,-0.00154798770766809
96,0.575900477767016,0.532687626482745,0.520801302658671,0.93032561381956,0.935787056078458,0.88646466819853,0.918322577799973,0.609108182691759,0.665976510007986,0.620828866958948,0.426286985617283,0.382614386081781,0.399552904069528,0.424530305770857,0.482352950874406,0.531749330603536,0.572141591348562,0.586390708094202,0.324454912424182,0.440248034397845,0.431280170008629,0.632789285579972,0.797064935843214,0.831614671774805,0.801723926200522,0.801640311330819,0.734328655217392,0.641706533828605,0.586807397480703,0.55823489695346,0.559976388817249,0.870942369717774,0.891041198164944,0.865979898567058,0.806646802794818,0.617116869560176,0.534537351445121,0.540893386435618,0.556385824003765,0.908398597094673,0.902553132902554,0.87287544413134,0.895869928817805,0.843453076832339,0.778874143477264,0.723005714515557,0.68021834752632,0.566674828529233,0.354116335360627,0.899416162444684,0.88950790477751,0.906475053076453,0.889750374738109,0.87898768893828,0.828449345600653,0.806033650432863,0.744309439192621,0.629513276659878,0.373602582892411,0.919003840365619,0.923194868821392,0.881937239238216,0.888730415183559,0.873996425000713,0.737385636568008,0.557892417757833,0.595751658082156,0.760657679869553,0.824109535950828,0.896442788664457,0.91300720468087,0.899297196565134,0.844808670628147,0.813667731227195,0.721577023466399,0.647663585701068,0.311016472643252
99,0.768203511431411,0.67748480624166,0.671323549002409,0.884364008903503,0.923883000358206,0.879921575784683,0.90026339488243,0.576470613479614,0.764859683373395,0.85830066204071,NA,0.658394628204405,0.781007317935719,0.435104368194457,0.41372549533844,0.397462520529242,0.379493471235037,0.393740579485893,0.338954257965088,0.336470597982407,0.30882354080677,0.358217477256602,0.442156866192818,0.465577344099681,0.506712818846983,0.480821107048541,0.412885159254074,0.460331827402115,0.411942964250391,0.389934647083282,0.355607851743698,0.546918794512749,0.655882373452187,0.665436390568228,0.547558658263263,0.47401961311698,0.41848039701581,0.405106214806437,0.376549026966095,0.64022772542892,0.817086845636368,0.807381787720849,0.789705894887447,0.703452703097592,0.57009806483984,0.514328837394714,0.467647060751915,0.437943829877956,0.241830067502128,0.699450998306274,0.759803935885429,0.818229157477617,0.808627488613129,0.76922270283103,0.648590707220137,0.687174560593777,0.668758189678192,0.545638972315295,NA,0.841176480054855,0.878011211752892,0.832539692521095,0.848801751931508,0.732410627252915,0.685228776931763,0.500115370049196,NA,0.590274534225464,0.685561516068198,0.823878006140391,0.891146768223156,0.885369539260864,0.747712433338165,0.713098056316376,0.689673221111298,0.574001477824317,0.0904411785304546
100,0.858607491487647,0.752757367678044,0.784618616376762,0.903467381404639,0.915821148289543,0.899578011100676,0.702793210463695,0.378015455873594,0.887440463117622,0.415061101965287,0.749859102275378,0.77274989398522,0.851331474781003,0.884626321170599,0.859640194337357,0.816958396474253,0.853759157086492,0.862562613378707,0.309803932905197,0.794105847377254,0.753631096746865,0.824405112312734,0.862901968955964,0.879558847844573,0.857030533479289,0.889838546902653,0.172941181064014,0.869217314552672,0.806127462536326,0.743707946209826,0.753225612640526,0.881481488545679,0.887541484832776,0.884481799602451,0.871569350198764,0.841110173342933,0.694852959364638,0.721477550704179,0.713911510503433,0.901724080677411,0.875007461926393,0.779093000055017,0.867048038145774,0.886938166618345,0.87422969937324,0.894403842779298,0.858226777418673,0.74209321628798,0.643452022442838,0.868157189430209,0.861132619216216,0.884479713992166,0.879014402892435,0.884629987901236,0.887290981979712,0.912142022927144,0.885481859141262,0.826073326650044,0.669359811817185,0.881184821433158,0.896662253501965,0.86660534021089,0.873023743378456,0.87278519138667,0.887318209588111,0.882383625386019,0.410196083784129,0.413685348241947,0.412425456801071,NA,0.560005195902009,0.628851562738599,0.738400725670959,0.757859093023603,0.619109036171385,0.483609474556963,0.0211931587137458
104,0.821712110100633,0.748163188325929,0.735234715721812,0.891783386468879,0.913725495338428,0.872043018379513,0.614005625247957,0.75843138694763,0.870588243007592,0.860487233508646,0.707563042640686,0.727233131726562,0.829102177368978,0.73071897029875,0.491503290832077,0.465490211049803,0.410391054416159,0.425547870643144,0.3389739553406,0.356381157511179,0.3327451080084,0.337000009715568,0.409803926944925,0.431054588105237,0.464923752678818,0.486274511230235,0.445751637220438,0.417058828473126,0.399229099353172,0.402047295342491,0.387573432696023,0.636450860997827,0.734059565597176,0.69354161569629,0.584054900868111,0.477124213269263,0.446198611682477,0.448664802312901,0.438819935289028,0.759477138519315,0.830513990842385,0.747090295036849,0.839886490451677,0.741846022082554,0.717205208791793,0.618289961678025,0.567344054308784,0.523367082237435,NA,0.805882364511497,0.835093021392831,0.86756535371145,0.832907878003026,0.827779613726635,0.731076597605117,0.763137269020082,0.735947728157039,0.599578349821027,NA,0.890833738373547,0.908235299587249,0.858482531879264,0.871826633026725,0.844217116418088,0.804361756358787,0.566166884758895,NA,0.687517952628255,0.747888401150694,0.833372558951373,0.907993972301482,0.894857149124148,0.823197747344413,0.797942159199482,0.78854903221132,0.665359497070296,0.151170151368243
106,0.623529434204102,0.453524115117851,0.463921600580278,0.81909354983793,0.400000005960399,0.544927563356512,0.512999302811162,NA,0.673529431222886,0.707563042641114,0.381854443732056,0.556862771511315,0.836266919623992,0.475574922782459,0.505882382392981,0.355906273533579,0.40032680332661,0.550516960837561,0.280672281981478,0.520000028610134,0.547058850526879,0.774229705333793,0.518137283623375,0.494656884670228,0.457299730606916,0.415479881198546,0.625013270893423,0.618954271077235,0.616911787539369,0.64732929755929,0.669426308737509,0.747385635972046,NA,0.634764197710139,0.451540619134844,0.796470600366653,0.484967350959983,0.557809356985665,0.656146923700865,0.898176820654574,0.517460346221952,0.759526466423667,0.75728671292982,0.759861606008925,0.552941203117371,0.558088261634268,0.540144506253826,0.609025003158972,0.713071912527195,0.683587527937281,0.622580667657305,0.550642328015644,0.423039220273443,0.763235308229759,0.823902904987258,0.949226009217975,0.716526627540356,0.668883225192122,NA,0.817792312966402,0.718007679643138,0.648070862216205,0.630107548928927,0.662931859493202,0.802033417754546,0.485198031453456,0.69874310493454,0.829042351763979,0.873856216668625,0.865002978931713,0.567089606733837,0.56427017847676,0.790482038631918,0.921093290502133,0.641176491975762,0.133893561683815,-0.00887512922973858
109,0.628236827477874,0.532727234190086,0.547961487389537,0.746016094100493,0.851797799910073,0.853488661266252,0.614580911702879,0.753408044576831,0.755914287233885,0.814320125077168,0.585811571528306,0.577568900830035,0.807404238376857,0.887938212264596,0.300750551327009,0.230881999438606,0.212976829301428,0.231372550887794,0.363436774432251,0.304187203789689,0.298105414532723,0.425966390968574,0.491759781327193,0.487607713807435,0.499763935655046,0.542162760646217,0.550576728056643,0.539522428585433,0.54298382945661,0.541636321053661,0.349703192984505,0.419412583112591,0.785147071629813,0.736680642638351,0.40767974406492,0.751601321995022,0.643984092997859,0.63627453148358,0.6793788426396,0.605379901869414,0.871163406371995,0.641702708821194,0.760856743309114,0.820682407940505,0.732342808142672,0.648675448558162,0.563880713404569,0.608827397402258,0.393274610889031,0.836393354968453,0.590181003309115,0.750035650079709,0.678637596513894,0.660850654586204,0.773424295935881,0.823350429534488,0.751756627384996,0.570122860748595,0.522372135205882,0.639227861400091,0.665813491015689,0.624062462917419,0.695241200036954,0.714913683951554,0.613132436518086,0.372721210762896,0.635256791114638,0.753041277628589,0.800093382596849,0.842740361839898,0.743523864542745,0.740121249168427,0.770522729691523,0.810337381546965,0.724943150770135,0.563846898078731,-0.0115082958561029
111,0.716750717162923,0.611667500054462,0.618813299665088,0.829691886901957,0.902784319520033,0.891511009289692,0.68912793636323,0.3576148352396,0.783339754039069,0.254901967942715,0.418823534250377,0.277792990900788,0.272556061065446,0.401448513205383,0.424733576075854,0.319245862960898,0.391678055953496,0.494711011436896,0.0562091507017612,0.548117673993233,0.586419777737649,0.574255105051799,0.596043545343907,0.478431376448849,0.521319103511944,0.464434391260262,0.455285000385141,0.677566793959842,0.635958275968,0.615375061829796,0.639154313361768,0.801410400553845,0.692508816719136,0.6487524359482,0.601836571023532,0.714393233769625,0.603328640313422,0.651706629329179,0.696083516113439,0.682264503679855,0.784355018013514,0.645408454779118,0.688241959426488,0.759055812989437,0.711081949993856,0.67305206753191,0.61989480983915,0.639215707778851,0.655453905794246,0.674553885888676,0.625980414450268,0.58392752210366,0.495802696328771,0.678642228726494,0.766767997690972,0.836022724870678,0.795007609353189,0.658475302361096,0.593008334054271,0.699818463789203,0.58304936549532,0.648392986391053,0.654901981353817,0.660127897495864,0.679498729902591,0.503431402147184,0.668300673365606,0.785274122442476,0.698871081525677,NA,0.610576826810013,0.65250853585561,0.863838353055571,0.854037213325446,0.745035141547042,0.651202913294397,-0.008312710428218
113,0.559477150438242,0.486778712272262,0.514737536829291,0.664344204282352,0.691421587020579,0.705361537169922,0.415473481250635,0.655900198762735,0.687363853056661,0.713103795196263,0.557067019864469,0.629698730822846,0.751926399375059,0.837107852846704,0.66173501719222,0.338854498769267,0.365906058522131,0.542949854231932,0.279144398190752,0.552557571426078,0.236071670877756,0.282805442810483,0.633333355189522,0.646405249840451,0.368662652105928,0.336274519563078,0.24284257098113,0.451715689153332,0.496586812868498,0.524938753806515,0.616960807144421,0.913849989573054,0.495550528168484,0.590522900221991,0.56572892613707,0.791302174329257,0.58123025898963,0.580294630420379,0.663312713566227,0.905217092484053,0.745997496701102,0.695944759655599,0.51628450872506,0.719181602414871,0.737802783794036,0.692508816718844,0.630363058335399,0.716841273927919,0.755283238986646,0.813772186636657,0.750245112925311,0.631045773625228,0.373828983555116,0.772276702026128,0.848464061319477,0.586236087715126,0.67388404113175,0.640756323933288,NA,0.871225497871524,0.732733010362568,0.802745109796145,0.823230319608745,0.839572202075128,0.75039217174036,0.722373966127395,0.738093634561206,0.895113858243987,0.912144217760258,0.884313732385648,0.763854503239555,0.39337691267141,0.927777782082464,0.943749518969227,0.53907362792787,0.53948616673233,-0.00240354220404077
114,0.53676473349374,0.485228771966208,0.556372575462274,0.900473298697966,0.666496183562855,0.501742949089021,0.268371710311222,NA,0.866085701518036,0.864145666360659,0.718835429711526,0.710989529310027,0.863725498320233,0.389978220065828,0.447989368338098,0.393333339692349,0.386175487077837,0.619607865810496,0.307407418886779,0.668476641178804,0.707946353836833,0.822452913313037,0.447947715521325,0.45882353449569,0.423852377078436,0.445852190256407,0.647471641239981,0.815508032386238,0.770806113878768,0.655594022835235,0.711198274295535,0.503605342681327,NA,0.525914177701775,0.588057065552442,0.853803930282293,0.717792318926875,0.743940258025771,0.764705896377826,0.447289507179353,0.805182084441378,0.318137265741825,0.768826866554209,0.684162914753825,0.598039239645452,0.484705897173791,0.467348680549566,0.696530938149066,0.708764487002781,0.502865779858715,0.738344242175262,0.800754171151516,0.601244348746231,0.730666682720395,0.801906329890227,0.86179442297287,0.83957220207519,0.696969715031465,NA,0.682091522217338,0.775221509403967,0.646867548547446,0.649237493674269,0.739467084408056,0.764235308170069,0.651988816261797,0.774067059640012,0.815976772043139,0.854951609538941,NA,0.706013089418807,0.686013090616041,0.854684104521803,0.859061208637748,0.680495375080896,0.496784322263907,-0.00427807509784747
