"...1","median.X2016.12","median.X2017.02","median.X2017.03","median.X2017.05","median.X2017.06","median.X2017.07","median.X2017.08","median.X2017.10","median.X2017.11","median.X2018.02","median.X2018.04","median.X2018.05","median.X2018.06","median.X2018.07","median.X2018.09","median.X2018.10","median.X2018.11","median.X2019.05","median.X2019.06","median.X2019.07","median.X2019.08","median.X2019.10","median.X2020.01","median.X2020.02","median.X2020.03","median.X2020.04","median.X2020.05","median.X2020.06","median.X2020.07","median.X2020.09","median.X2020.11","median.X2021.02","median.X2021.03","median.X2021.04","median.X2021.06","median.X2021.07","median.X2021.08","median.X2021.09","median.X2021.10","median.X2021.12","median.X2022.04","median.X2022.05","median.X2022.06","median.X2022.07","median.X2022.09","median.X2022.10","median.X2022.11","median.X2022.12","median.X2023.05","median.X2023.06","median.X2023.07","median.X2023.08","median.X2023.09","median.X2023.10","median.X2023.12","median.X2024.01","median.X2024.07","median.X2024.08","median.X2024.10","median.X2024.11","median.X2024.12","median.X2025.02"
150,0.966383444269223,0.897114852070805,0.871528681823032,0.794455725571065,0.901415180641694,0.86951750761016,0.807035422680985,0.905152279328789,0.948758172988978,0.880993471145626,0.859662891061587,0.585844773544027,0.859979264532059,0.836292508408641,0.857568258412907,0.802604849320981,0.907178181150682,0.855866962702368,0.871925656506117,0.887166613368694,0.856375136388108,0.812345690197316,0.989674052054213,0.913964199501535,0.812753941561503,0.862857957109205,0.860810819107136,0.319680475527012,0.87032990826821,0.846185833320919,0.88496732711654,0.47109058671746,0.487791613723246,0.476366815543868,0.346161124218137,0.462984751661858,0.571126394091556,0.535158249412229,0.755770677252676,0.869210394653663,0.38566177152121,0.570000025630372,0.70190284786574,0.743168393771252,0.564856737853255,0.66692596378389,0.963333335518403,0.862041234969755,0.694245821120852,0.832912137773424,0.842310390916108,0.807124404662015,0.823132859187311,0.819520275438987,NA,NA,0.886216082616388,0.877639870577952,0.80617221956644,0.969639470500329,NA,0.386467833334831
151,0.919975494965908,0.866612208386257,0.828506797552107,0.845081145136522,0.869063188632331,0.84798373085148,0.697619065642358,0.852982904048669,0.922387594200041,0.831903604790566,0.795625954866396,0.744117662310605,0.826397069171072,0.778637784092052,0.82626263661818,0.78134285319935,0.825303465127937,0.811408210884439,0.80554135856421,0.813349660237629,0.796116150342499,0.77415623332633,0.884586063524083,0.817603496710452,0.724663375730972,0.754352955818172,0.79705883562565,0.387955188751221,0.7639394138347,0.799318000026369,0.822222232818599,0.707650290649441,0.684220373630517,0.727488704025743,0.83436533495,0.817875067855038,0.368627458810806,0.860184743384683,0.883718494325874,0.60079659242183,0.361580890603365,0.322300979171892,0.342344300054453,0.352868563599059,0.502821631547916,0.521018260403691,0.571595150071238,0.535767438082871,0.563691709576001,0.73799683596638,0.766147649463487,0.707203768517667,0.739651431639995,0.739379100501553,0.698930499228568,0.636545703766189,0.841531582704677,0.869696977463642,0.818641670372172,0.846717826698131,0.727124199271193,0.559656888991588
152,0.827058833837496,0.757588975959351,0.720743050700727,0.762601640166297,0.84313726425171,0.842245998707688,0.723333349823957,0.813725501298901,0.846535956859583,0.730457532405844,0.511858102111584,0.37371097339524,0.373168222214051,0.394509810209292,0.36981015404066,0.345510845121582,0.305651684017742,0.298039227724082,0.420530569904,0.496459696027984,0.584083048736357,0.392156869173057,0.383160329916897,0.361937724492128,0.332126706838607,0.309960795640945,0.583391028292045,0.733333349227914,0.720196083188064,0.73761142383922,0.444662312666574,0.368627458810805,0.362352949380879,0.354385973591558,0.65572757469981,0.838779966036479,NA,0.749749216922489,0.549264732748274,0.495860566695541,0.42460784763098,0.788235306739805,0.863529419898986,0.883398699760436,0.805228769779197,0.569281071424492,0.524930000305173,0.559001808816744,0.669803941249835,0.878186281770466,0.909949170218571,0.870889902114865,0.85816994309425,0.690196096897163,0.540355704551527,0.496918767690657,0.875032687187186,0.890631814797717,0.605466452511883,0.552941203117376,0.541512632370003,0.240641713142422
153,0.589643061160976,0.527113730810146,0.513103277700879,0.87481845335829,0.930563558231701,0.908307539005024,0.847203890659983,0.43912050619873,0.416909561568073,0.350590297377012,0.35350491069263,0.422186413448272,0.478389476736443,0.486778554017213,0.54033255807144,0.48195734541673,0.445756113896697,0.593570618607095,0.703302601447203,0.677430976410335,0.624147830674564,0.550280138850278,0.443413981867535,0.431765866754305,0.420525940864081,0.42729064021434,0.745310669562932,0.748982451538371,0.803747287503043,0.73648325416358,0.570712629117496,0.476381463083312,0.478833585977285,0.487789662046697,0.80148676037795,0.877710091322677,0.833785831928275,0.86060414185392,0.718738038288914,0.746200995519636,0.587228429478532,0.817311574297749,0.872394071614505,0.884044345367589,0.859432412919174,0.748272073827633,0.764758890545114,0.799956599724571,0.617352604866363,0.881598133033366,0.909123790294397,0.874817934632309,0.880646039631719,0.861922841879606,0.768576202439405,0.739074927568479,0.889494572741558,0.887905361130847,0.756227838993093,0.74147060364475,0.74981017770422,0.651793106409854
156,0.914892503627154,0.847831262783238,0.814506068255997,0.863509309291902,0.885140729802075,0.866701924667021,0.781157901035807,0.872263822230318,0.916439080610718,0.827220310182985,0.797937868113084,0.803839880973122,0.840620667211699,0.829559154078133,0.844288703482184,0.80354685266803,0.854728959062451,0.821917729449198,0.815859406557336,0.828002189873781,0.782700626829391,0.794124975689256,0.864790065496228,0.827562491581223,0.734737523717096,0.760141626497033,0.821641074700034,0.623815216516906,0.800728562709611,0.82046630667213,0.829488169063104,0.716469461820504,0.696558152043352,0.735284884442444,0.854096879232902,0.83684627187236,0.738324436275682,0.871768841492532,0.892408813510957,0.69697967949121,0.371554955216631,0.354542398692001,0.349387263879322,0.323692336103771,0.347145829896621,0.385870231181244,0.40888458490397,0.496040542056929,0.393074254068005,0.465892953808836,0.498831460873485,0.522080478313568,0.572872541468763,0.622937288549346,0.567503941945618,0.528186302632171,0.794363749654739,0.792479195823402,0.732468463094988,0.741298085035119,0.727365745150112,0.463845891387789
158,0.89676736174403,0.833230144099188,0.814763563520769,0.822248910154617,0.85446623961131,0.839300947344823,0.791529424190522,0.872941184043882,0.925558999965067,0.836565987483872,0.836658151253405,0.790374344045467,0.819234371185303,0.720116211308372,0.725708077351256,0.508326996456495,0.50550530707607,0.327597317855753,0.339750455184419,0.351568636298184,0.351549653757005,0.0388100081733595,0.490196088949926,0.388491055239805,0.336091369390489,0.304166678339245,0.372331162293757,0.500392165780069,0.476294792931659,0.50167030206435,0.531604497663445,0.384775093373137,0.352941185235978,0.350042634684112,0.572850704193129,0.707480046484212,0.325490206480026,0.741176486015322,0.644645571708683,0.579458475112922,0.440573155879975,0.728550948747776,0.795807990534555,0.81673203706742,0.754723722284492,0.644195477167766,0.679831951856616,0.706666684150706,0.68086546865003,0.852016287029919,0.875645002252178,0.851693413474345,0.861692978114619,0.831710625311425,0.809523820877071,0.760597586631769,0.898039221763612,0.879939675331118,0.750700294971465,0.819607853889455,0.821746891195117,0.603050132592517
162,0.914000693120455,0.85655463039875,0.837908506393433,0.835294127464294,0.885666949648253,0.8658016227624,0.809716786940893,0.909304818240079,0.938065363168716,0.873373124910438,0.848669476807117,0.772113303343455,0.86801471374929,0.852573538199067,0.876180109050539,0.830852833138891,0.895710790529847,0.851838244125247,0.854901969432831,0.870710790157318,0.833627432584763,0.82438193715137,0.931168304756284,0.865392164885998,0.806209161877632,0.843725499510765,0.855462193489075,0.844848494096236,0.848324408585375,0.857148701325059,0.893452175097032,0.751693419434807,0.770904504483746,0.824248376488686,0.876648848707026,0.870281870476902,0.8331880999936,0.899411770701408,0.939845941960812,0.952941179275513,0.795231741260399,0.858823537826538,0.845424845814705,0.864996376964781,0.894272452122287,0.897563880140131,0.927843141555786,0.954019610583782,0.753826706640182,0.867680873336463,0.884104582071304,0.854786629185957,0.877333340644836,0.880112051963806,0.9433210818097,0.92866205730859,0.469815806909041,0.395744687065165,0.353790858387947,0.400461366947959,0.460980394482613,0.331137264966965
163,0.878833591937911,0.750226259231693,0.715294134617034,0.777275025844491,0.906701790752641,0.869019615650195,0.783244219693306,NA,0.681372568011202,0.470231730830172,0.418919853473925,0.388917312673782,0.781325876712595,0.669281065465251,0.712418317794706,0.651722331304715,0.63921570777879,0.748539430754605,0.822875827551017,0.795518210955969,0.744878418445714,0.710992292924499,0.808823540806545,0.689002576081675,0.600871483485451,0.62254904210589,0.822901971340438,0.464705884457495,0.869176459312407,0.832941186428645,0.854901969431448,0.670121401548449,0.672156882286204,0.69760350386318,0.885490202903643,0.902745103836078,0.784414291381791,0.908322445551494,0.919576724370177,0.935526042215295,0.754422672589693,0.882523451162374,0.886034420558354,0.897344777360522,0.90346908569321,0.886274516582517,0.934724861575473,0.970980393886369,0.350042634684294,0.910784319043181,0.925336413523707,0.898658416773121,0.912978529930145,0.914090292398285,0.963861238956498,0.952018457300476,0.904688837735514,0.892549026012443,0.903154310972823,0.943137258291281,0.937377454712893,0.91121569156634
164,0.93161672623652,0.868281438070183,0.835028258420652,0.791683582396341,0.841182744541107,0.809405765999323,0.787062187989553,0.896532243516246,0.936533405022187,0.863807961205454,0.841596648097037,0.784396671816661,0.811483057493664,0.793340106976444,0.813816700563874,0.783445203064271,0.868671031792955,0.792418313026428,0.781834887421649,0.789945485492865,0.771999749764557,0.712892173975707,0.937513877198378,0.848985217119515,0.750797823855751,0.799783413666625,0.803841548306601,NA,0.409873747662323,0.328236830257723,0.36394809942315,0.357267874331517,0.350999437778902,0.337370251908026,0.326073580290666,0.399291021844094,0.365346146481384,0.454545457254772,0.517490215778404,0.538562119007111,0.377726722974336,0.471601092460145,0.559019634127625,0.584517090850415,0.49289802087552,0.563973882198333,0.594365586494579,0.647354811992283,0.598213962989277,0.755745857199541,0.747694193485173,0.722222238779071,0.755944194020452,0.774760443913309,0.882679745554942,0.808055125378268,0.838033000628152,0.850980401039124,0.784126103494725,0.813428412784224,0.796666678786278,0.445827841090514
166,0.919101420222558,0.877625868449372,0.851553553342844,0.821694329381026,0.869950988143731,0.851436397364021,0.798212238094431,0.893790856003802,0.930441051956269,0.872096538543653,0.845074980399251,0.785218715667825,0.834126000708765,0.81651187884186,0.85316527485851,0.817460328340599,0.892705888748155,0.811714760816788,0.807575215464105,0.823376383141799,0.727315236169732,0.807865557670638,0.901874601841033,0.851800163923719,0.795230536847462,0.801730911074068,0.811484605074006,0.553137281537347,0.808339313585092,0.834843372476582,0.836532517483326,0.687843155861002,0.666988126567282,0.678622687735421,0.323940944892458,0.331425965644075,0.367182670455558,0.3297682810914,0.332212895155058,0.384313732385533,0.300062259038356,0.311078442633231,0.352531469135213,0.348564942245981,0.339090539419826,0.345049634024093,0.378203381632875,0.42755153775244,0.446888323711397,0.560310304165035,0.560473104317881,0.532749297770907,0.548613955234524,0.544537842273577,0.539420912085755,0.477289651391128,0.757752374642416,0.783961237816269,0.726178206895589,0.712878804992631,0.694117665290926,0.584313750267109
167,0.910330497965795,0.859301874293914,0.833401544456893,0.826147562908608,0.856862753629686,0.839872748763476,0.830253477358237,0.877402908766446,0.92017072288772,0.82860277999531,0.813320944243267,0.796824542386346,0.824098472423222,0.805560169925153,0.833711368328816,0.77779368390428,0.858915002978576,0.802786284265894,0.806801157409183,0.815295706125802,0.800256209373474,0.787794004925678,0.890587091795509,0.845704109018498,0.46813484204226,0.380819749330806,0.291577696128002,NA,0.281506424827201,0.277392514128441,0.293628791725748,0.297366958856589,0.292183526569206,0.276779802143577,0.309276170429795,0.379839203780831,0.389835144601669,0.403896355264834,0.404475207539174,0.35113090899454,0.354716210929976,0.480116306262336,0.526430526076649,0.527668873469041,0.556497320693037,0.558103687383915,0.569086549182731,0.584838606642949,0.617329895934634,0.751144009167944,0.723307149282589,0.69911832297409,0.707638493692038,0.688398711383343,0.616329679731275,0.546797159792605,0.795427378839063,0.815394740323627,0.655273987841694,0.661658928334276,0.659484488240785,0.425148849424553
168,0.570383761923774,0.52235296964654,0.518954277038643,0.868183948099644,0.929162780443826,0.906870721316903,0.878618121147131,0.77992689912597,0.645186044275789,0.524446581159936,0.505649746095796,0.88565936859918,0.904097824619072,0.739718466997002,0.882427220317428,0.829244899622962,0.631372570991619,0.891487333105808,0.890196084976178,0.899139996160532,0.829268154334006,0.832458531856485,0.583696466353259,0.55165544298833,0.530786363120007,0.550399445825218,0.911095175074382,0.743872564285826,0.890008920634348,0.877436354978727,0.592535782551466,0.495288264840455,0.504607867822097,0.53835959669586,0.909108164810374,0.873990085469687,0.369607850909241,0.865441184490946,0.838301646082061,0.609477147460191,0.597058847546667,0.91935209346854,0.888437320969313,0.899491654502004,0.9047329333322,0.884292872979269,0.887033529820019,0.686418000517768,0.90052607001327,0.915334818216998,0.915401379267374,0.886319079859684,0.900607328499296,0.899470594227323,0.628251322678263,0.616285425921405,0.72532681375737,0.388798879470706,0.453951280225695,0.510375846177514,0.505933981977132,0.416101060807754
170,0.876344545185994,0.812410038483352,0.764766228199359,0.778112188328388,0.850745106936047,0.836657339334658,0.819536552646555,0.875317193129537,0.901370960764982,0.820809624848766,0.794934652745624,0.799415216634351,0.847058832645548,0.826138773560645,0.844268485903996,0.798752240159428,0.86308124065388,0.843593260576803,0.844178388604132,0.851154338929054,0.823986905316673,0.805728911835415,0.897462520529634,0.834668949894387,0.750154813653489,0.784436287358453,0.839415405359698,NA,0.409957972488436,0.417504089884712,0.38295812849679,0.347355921160409,0.338390102512198,0.347812980414083,0.426232633371165,0.581257233727007,0.576497110563682,0.664797101603042,0.606250023470577,0.479751132429151,0.412936919085506,0.751213833689735,0.801011041272474,0.800570169027713,0.654024788423893,0.66365866532405,0.679797331269364,0.669862038560084,0.80208084412962,0.894344691539966,0.896816757542031,0.851987290221308,0.865811059691638,0.846364388242342,0.79052288830288,0.758627465367275,0.895621259904289,0.881317062198048,0.786280518825267,0.75047205554125,0.586640104399637,0.422994656996249
171,0.914803926646706,0.866249486486961,0.830882363021372,0.866297585823955,0.889635860919954,0.882299228073801,0.880561614478075,0.483422460881152,0.462418302893641,0.404721894434518,0.401100797088521,0.408338097982039,0.437318156803815,0.449712817416068,0.453812638918571,0.423959177242569,0.382105032945501,0.477792978979824,0.597722984129395,0.619730412960054,0.56666666269306,0.53753504157067,0.473529413342469,0.44253394007682,NA,0.412316181696952,0.660160448063527,0.727151111995476,0.743006539344795,0.661546861131992,0.572406677916494,0.491855204105373,0.463437141741021,0.461471863768326,0.744557148423693,0.819023790511683,0.788011217117317,0.800379518539679,0.708932479222603,0.651158666068848,0.574509829282747,0.819047629833224,0.849019616842269,0.863626699114957,0.789185989986769,0.721568644046783,0.693490214347801,0.702135094006852,0.736947343629953,0.877298482259117,0.896578938037426,0.843259813264017,0.836326119146851,0.784615397453313,0.638674801793582,0.576844096183769,0.893275242381626,0.87741177201271,0.720261454582188,0.693868676821385,0.623006558418265,0.453529414534576
172,0.888439549133182,0.785457529127598,0.793042390577255,0.823657998296081,0.874817385393031,0.865221886258376,0.834187427181408,0.818176170190175,0.896561529325402,0.417429198821386,0.386563812611533,0.262065373659134,0.315511993567149,0.340271502733231,0.350169943571091,0.307317084655529,0.268931248238389,0.332905535806309,0.501176491379738,0.521889502351934,0.499019607901573,0.357535022497177,0.343843146562576,0.326522198162581,0.317647069692612,0.302309379975001,0.534189795625621,0.614071533960455,0.615753017841501,0.555762475343059,0.389615111880832,0.331969319478325,0.323153952968881,0.325295345938724,0.620231751691211,0.734256071202895,0.695356055309898,0.759618456299241,0.518982089580374,0.437305703218737,0.345991078874852,0.73035383357682,0.802581297445901,0.824766894976298,0.763605944267133,0.528120544625492,0.498385237858576,0.527522570025312,0.661979934064353,0.860755056587618,0.880392163991928,0.843137264251709,0.832907085833342,0.703883139526143,0.513226410475644,0.470380153826305,0.88371576273695,0.887654327683979,0.65320263504982,0.589111413727415,0.519797625080232,0.363678812980652
